,original,matches,match_count
0,"Abdnor, James",[],0
1,"Abdnor, James",[],0
2,"Abercrombie, Neil",['Neil Abercrombie'],1
3,"Abercrombie, Neil",['Neil Abercrombie'],1
4,"Abourezk, James",[],0
5,"Abourezk, James",[],0
6,"Abraham, Ralph Lee",[],0
7,"Abraham, Spencer",[],0
8,"Abzug, Bella S.",[],0
9,"Acevedo-Vila, Anibal",[],0
10,"Ackerman, Gary L.",[],0
11,"Adams, Alma S.",[],0
12,"Adams, Brock",[],0
13,"Adams, Brock",[],0
14,"Adams, Sandy",['Sandy Adams'],1
15,"Addabbo, Joseph P.",[],0
16,"Aderholt, Robert B.",[],0
17,"Adler, John H.",['John Adler'],1
18,"Aguilar, Pete",['Pete Aguilar'],1
19,"Aiken, George",[],0
20,"Akaka, Daniel K.",[],0
21,"Akaka, Daniel K.",[],0
22,"Akin, W. Todd",['Todd Akin'],1
23,"Albert, Carl",[],0
24,"Albosta, Donald J.",[],0
25,"Alexander, Bill",['Paul Alexander'],1
26,"Alexander, Lamar",['Lamar Alexander'],1
27,"Alexander, Rodney",['Rodney Alexander'],1
28,"Alford, Mark",['Mark Alford'],1
29,"Allard, Wayne",['Wayne Allard'],1
30,"Allard, Wayne",['Wayne Allard'],1
31,"Allen, Clifford R.",[],0
32,"Allen, George",['George Allen'],1
33,"Allen, George",['George Allen'],1
34,"Allen, James B.",[],0
35,"Allen, Maryon",[],0
36,"Allen, Rick W.",['Rick Allen'],1
37,"Allen, Thomas H.",['Thomas Allen'],1
38,"Allred, Colin Z.",[],0
39,"Alsobrooks, Angela D.",[],0
40,"Altmire, Jason",['Jason Altmire'],1
41,"Amash, Justin",['Justin Amash'],1
42,"Ambro, Jerome A.",[],0
43,"Ammerman, Joseph S.",[],0
44,"Amo, Gabe",['Gabe Amo'],1
45,"Amodei, Mark E.",[],0
46,"Anderson, Glenn M.",[],0
47,"Anderson, John B.",[],0
48,"Anderson, Wendell R.",[],0
49,"Andrews, Ike",[],0
50,"Andrews, Mark",[],0
51,"Andrews, Mark",[],0
52,"Andrews, Michael",['Michael Andrews'],1
53,"Andrews, Robert E.",[],0
54,"Andrews, Thomas H.",['Thomas Andrews'],1
55,"Annunzio, Frank",[],0
56,"Ansari, Yassamin",['Yassamin Ansari'],1
57,"Anthony, Beryl, Jr.",[],0
58,"Applegate, Douglas",['Douglas Applegate'],1
59,"Archer, Bill",['Bill Archer'],1
60,"Arcuri, Michael A.",[],0
61,"Arends, Leslie C.",[],0
62,"Armey, Richard K.",[],0
63,"Armstrong, Kelly",['Kelly Armstrong'],1
64,"Armstrong, William L.",[],0
65,"Armstrong, William L.",[],0
